spliced	intron	gene_name
ENSMUSG00000083182.2	ENSMUSG00000083182.2-I	Gm13828
ENSMUSG00000060152.15	ENSMUSG00000060152.15-I	Pop5
ENSMUSG00000083875.2	ENSMUSG00000083875.2-I	Gm13831
ENSMUSG00000041733.11	ENSMUSG00000041733.11-I	Coq5
ENSMUSG00000086368.3	ENSMUSG00000086368.3-I	Gm13830
ENSMUSG00000029538.15	ENSMUSG00000029538.15-I	Srsf9
ENSMUSG00000029535.5	ENSMUSG00000029535.5-I	Triap1
ENSMUSG00000107288.2	ENSMUSG00000107288.2-I	Gm42903
ENSMUSG00000087292.2	ENSMUSG00000087292.2-I	Gm13832
ENSMUSG00000054256.12	ENSMUSG00000054256.12-I	Msi1
ENSMUSG00000029522.13	ENSMUSG00000029522.13-I	Pla2g1b
ENSMUSG00000119520.1	ENSMUSG00000119520.1-I	AC159539.2
ENSMUSG00000119132.1	ENSMUSG00000119132.1-I	AC159539.1
ENSMUSG00000029528.20	ENSMUSG00000029528.20-I	Pxn
ENSMUSG00000086849.2	ENSMUSG00000086849.2-I	Gm13840
ENSMUSG00000067274.11	ENSMUSG00000067274.11-I	Rplp0
ENSMUSG00000041638.19	ENSMUSG00000041638.19-I	Gcn1
ENSMUSG00000099047.3	ENSMUSG00000099047.3-I	Mir7029
ENSMUSG00000029518.16	ENSMUSG00000029518.16-I	Rab35
ENSMUSG00000099254.3	ENSMUSG00000099254.3-I	Mir7030
ENSMUSG00000029516.20	ENSMUSG00000029516.20-I	Cit
ENSMUSG00000106869.2	ENSMUSG00000106869.2-I	Gm42473
ENSMUSG00000107263.2	ENSMUSG00000107263.2-I	Gm42471
ENSMUSG00000085376.2	ENSMUSG00000085376.2-I	Gm14508
ENSMUSG00000086655.2	ENSMUSG00000086655.2-I	C330018A13Rik
ENSMUSG00000086122.2	ENSMUSG00000086122.2-I	Gm14507
ENSMUSG00000086055.2	ENSMUSG00000086055.2-I	Gm13837
ENSMUSG00000087124.2	ENSMUSG00000087124.2-I	Gm13839
ENSMUSG00000086715.2	ENSMUSG00000086715.2-I	B230112J18Rik
ENSMUSG00000086219.8	ENSMUSG00000086219.8-I	Srrm4os
ENSMUSG00000107237.2	ENSMUSG00000107237.2-I	Gm29926
ENSMUSG00000041512.4	ENSMUSG00000041512.4-I	4930569F06Rik
ENSMUSG00000107327.2	ENSMUSG00000107327.2-I	Gm7478
ENSMUSG00000086047.2	ENSMUSG00000086047.2-I	9530046B11Rik
ENSMUSG00000061288.14	ENSMUSG00000061288.14-I	Taok3
ENSMUSG00000107225.2	ENSMUSG00000107225.2-I	Gm43637
ENSMUSG00000106714.2	ENSMUSG00000106714.2-I	Gm42546
ENSMUSG00000066894.15	ENSMUSG00000066894.15-I	Vsig10
ENSMUSG00000029364.16	ENSMUSG00000029364.16-I	Wsb2
ENSMUSG00000086075.2	ENSMUSG00000086075.2-I	Gm15728
ENSMUSG00000061578.9	ENSMUSG00000061578.9-I	Ksr2
ENSMUSG00000107199.2	ENSMUSG00000107199.2-I	Gm42550
ENSMUSG00000029361.19	ENSMUSG00000029361.19-I	Nos1
ENSMUSG00000104071.2	ENSMUSG00000104071.2-I	Gm37028
ENSMUSG00000032898.10	ENSMUSG00000032898.10-I	Fbxo21
ENSMUSG00000029359.14	ENSMUSG00000029359.14-I	Tesc
ENSMUSG00000029360.4	ENSMUSG00000029360.4-I	Gm9754
ENSMUSG00000046607.7	ENSMUSG00000046607.7-I	Hrk
ENSMUSG00000032840.8	ENSMUSG00000032840.8-I	Spring1
ENSMUSG00000119733.1	ENSMUSG00000119733.1-I	AC125061.1
ENSMUSG00000082365.3	ENSMUSG00000082365.3-I	Btf3-ps11
ENSMUSG00000018076.13	ENSMUSG00000018076.13-I	Med13l
ENSMUSG00000107286.2	ENSMUSG00000107286.2-I	Gm43788
ENSMUSG00000106798.2	ENSMUSG00000106798.2-I	Gm43275
ENSMUSG00000107116.2	ENSMUSG00000107116.2-I	Gm43274
ENSMUSG00000107115.2	ENSMUSG00000107115.2-I	Gm43052
ENSMUSG00000107364.2	ENSMUSG00000107364.2-I	Gm43051
ENSMUSG00000106745.2	ENSMUSG00000106745.2-I	Gm43342
ENSMUSG00000107144.2	ENSMUSG00000107144.2-I	4930413E15Rik
ENSMUSG00000100573.2	ENSMUSG00000100573.2-I	1700081H04Rik
ENSMUSG00000085708.2	ENSMUSG00000085708.2-I	Gm16063
ENSMUSG00000085345.2	ENSMUSG00000085345.2-I	Gm16064
ENSMUSG00000018604.19	ENSMUSG00000018604.19-I	Tbx3
ENSMUSG00000018263.12	ENSMUSG00000018263.12-I	Tbx5
ENSMUSG00000107084.2	ENSMUSG00000107084.2-I	Gm43269
ENSMUSG00000107063.2	ENSMUSG00000107063.2-I	Gm38554
ENSMUSG00000029594.13	ENSMUSG00000029594.13-I	Rbm19
ENSMUSG00000106915.2	ENSMUSG00000106915.2-I	Gm42655
ENSMUSG00000029595.10	ENSMUSG00000029595.10-I	Lhx5
ENSMUSG00000029597.15	ENSMUSG00000029597.15-I	Sds
ENSMUSG00000032754.15	ENSMUSG00000032754.15-I	Slc8b1
ENSMUSG00000029601.14	ENSMUSG00000029601.14-I	Iqcd
ENSMUSG00000029599.14	ENSMUSG00000029599.14-I	Ddx54
ENSMUSG00000107004.2	ENSMUSG00000107004.2-I	Gm42657
ENSMUSG00000089830.2	ENSMUSG00000089830.2-I	Gm15749
ENSMUSG00000029602.12	ENSMUSG00000029602.12-I	Rasal1
ENSMUSG00000107075.2	ENSMUSG00000107075.2-I	Gm43068
ENSMUSG00000107179.2	ENSMUSG00000107179.2-I	Gm43069
ENSMUSG00000029605.17	ENSMUSG00000029605.17-I	Oas1b
ENSMUSG00000053765.5	ENSMUSG00000053765.5-I	Oas1f
ENSMUSG00000001168.17	ENSMUSG00000001168.17-I	Oas1h
